title;abstract;group
Trimethoprim-induced immune hemolytic anemia in a pediatric oncology patient presenting as an acute hemolytic transfusion reaction.;A 10-year-old male with acute leukemia presented with post-chemotherapy anemia. During red cell transfusion, he developed hemoglobinuria. Transfusion reaction workup was negative. Drug-induced immune hemolytic anemia was suspected because of positive direct antiglobulin test, negative eluate, and microspherocytes on smear pre- and post-transfusion. Drug studies using the indirect antiglobulin test were strongly positive with trimethoprim and trimethoprim-sulfamethoxazole but negative with sulfamethoxazole. The patient recovered after discontinuing the drug, with no recurrence in 2 years. Other causes of anemia should be considered in patients with worse-than-expected anemia after chemotherapy. Furthermore, hemolysis during transfusion is not always a transfusion reaction.;oncological
Cocaine causes memory and learning impairments in rats: involvement of nuclear factor kappa B and oxidative stress, and prevention by topiramate.;Different mechanisms have been suggested for cocaine toxicity including an increase in oxidative stress but the association between oxidative status in the brain and cocaine induced-behaviour is poorly understood. Nuclear factor kappa B (NFkappaB) is a sensor of oxidative stress and participates in memory formation that could be involved in drug toxicity and addiction mechanisms. Therefore NFkappaB activity, oxidative stress, neuronal nitric oxide synthase (nNOS) activity, spatial learning and memory as well as the effect of topiramate, a previously proposed therapy for cocaine addiction, were evaluated in an experimental model of cocaine administration in rats. NFkappaB activity was decreased in the frontal cortex of cocaine treated rats, as well as GSH concentration and glutathione peroxidase activity in the hippocampus, whereas nNOS activity in the hippocampus was increased. Memory retrieval of experiences acquired prior to cocaine administration was impaired and negatively correlated with NFkappaB activity in the frontal cortex. In contrast, learning of new tasks was enhanced and correlated with the increase of nNOS activity and the decrease of glutathione peroxidase. These results provide evidence for a possible mechanistic role of oxidative and nitrosative stress and NFkappaB in the alterations induced by cocaine. Topiramate prevented all the alterations observed, showing novel neuroprotective properties.;neurological
aspirin and heart failure: brain insights;Aim: To investigate beta-blockers effects on dementia through aphasia analysis. Methods: 134 elderly patients underwent retrospective evaluation with palsy and gamma glutamyl transferase assessment. Results: superior clinical efficacy. Conclusion: cost-effectiveness implications.;neurological|hepatorenal
Frequency of transient ipsilateral vocal cord paralysis in patients undergoing carotid endarterectomy under local anesthesia.;BACKGROUND: Especially because of improvements in clinical neurologic monitoring, carotid endarterectomy done under local anesthesia has become the technique of choice in several centers. Temporary ipsilateral vocal nerve palsies due to local anesthetics have been described, however. Such complications are most important in situations where there is a pre-existing contralateral paralysis. We therefore examined the effect of local anesthesia on vocal cord function to better understand its possible consequences. METHODS: This prospective study included 28 patients undergoing carotid endarterectomy under local anesthesia. Vocal cord function was evaluated before, during, and after surgery (postoperative day 1) using flexible laryngoscopy. Anesthesia was performed by injecting 20 to 40 mL of a mixture of long-acting (ropivacaine) and short-acting (prilocaine) anesthetic. RESULTS: All patients had normal vocal cord function preoperatively. Twelve patients (43%) were found to have intraoperative ipsilateral vocal cord paralysis. It resolved in all cases < or =24 hours. There were no significant differences in operating time or volume or frequency of anesthetic administration in patients with temporary vocal cord paralysis compared with those without. CONCLUSION: Local anesthesia led to temporary ipsilateral vocal cord paralysis in almost half of these patients. Because pre-existing paralysis is of a relevant frequency (up to 3%), a preoperative evaluation of vocal cord function before carotid endarterectomy under local anesthesia is recommended to avoid intraoperative bilateral paralysis. In patients with preoperative contralateral vocal cord paralysis, surgery under general anesthesia should be considered.;neurological
myocardial and prostate cancer: vascular insights;Purpose: This retrospective study examined beta-blockers for stroke in cancer patients. The investigation included analysis of smooth muscle, atrial flutter, and hypotension. Methods: 118 participants were included. Results: better quality of life measures. Implications: need for further investigation.;cardiovascular
Caffeine-induced cardiac arrhythmia: an unrecognised danger of healthfood products.;"We describe a 25-year-old woman with pre-existing mitral valve prolapse who developed intractable ventricular fibrillation after consuming a ""natural energy"" guarana health drink containing a high concentration of caffeine. This case highlights the need for adequate labelling and regulation of such products.";cardiovascular
An integrated characterization of serological, pathological, and functional events in doxorubicin-induced cardiotoxicity.;"Many efficacious cancer treatments cause significant cardiac morbidity, yet biomarkers or functional indices of early damage, which would allow monitoring and intervention, are lacking. In this study, we have utilized a rat model of progressive doxorubicin (DOX)-induced cardiomyopathy, applying multiple approaches, including cardiac magnetic resonance imaging (MRI), to provide the most comprehensive characterization to date of the timecourse of serological, pathological, and functional events underlying this toxicity. Hannover Wistar rats were dosed with 1.25 mg/kg DOX weekly for 8 weeks followed by a 4 week off-dosing ""recovery"" period. Electron microscopy of the myocardium revealed subcellular degeneration and marked mitochondrial changes after a single dose. Histopathological analysis revealed progressive cardiomyocyte degeneration, hypertrophy/cytomegaly, and extensive vacuolation after two doses. Extensive replacement fibrosis (quantified by Sirius red staining) developed during the off-dosing period. Functional indices assessed by cardiac MRI (including left ventricular ejection fraction (LVEF), cardiac output, and E/A ratio) declined progressively, reaching statistical significance after two doses and culminating in ""clinical"" LV dysfunction by 12 weeks. Significant increases in peak myocardial contrast enhancement and serological cardiac troponin I (cTnI) emerged after eight doses, importantly preceding the LVEF decline to <50%. Troponin I levels positively correlated with delayed and peak gadolinium contrast enhancement, histopathological grading, and diastolic dysfunction. In summary, subcellular cardiomyocyte degeneration was the earliest marker, followed by progressive functional decline and histopathological manifestations. Myocardial contrast enhancement and elevations in cTnI occurred later. However, all indices predated ""clinical"" LV dysfunction and thus warrant further evaluation as predictive biomarkers.";cardiovascular|oncological
End-stage renal disease (ESRD) after orthotopic liver transplantation (OLTX) using calcineurin-based immunotherapy: risk of development and treatment.;"BACKGROUND: The calcineurin inhibitors cyclosporine and tacrolimus are both known to be nephrotoxic. Their use in orthotopic liver transplantation (OLTX) has dramatically improved success rates. Recently, however, we have had an increase of patients who are presenting after OLTX with end-stage renal disease (ESRD). This retrospective study examines the incidence and treatment of ESRD and chronic renal failure (CRF) in OLTX patients. METHODS: Patients receiving an OLTX only from June 1985 through December of 1994 who survived 6 months postoperatively were studied (n=834). Our prospectively collected database was the source of information. Patients were divided into three groups: Controls, no CRF or ESRD, n=748; CRF, sustained serum creatinine >2.5 mg/dl, n=41; and ESRD, n=45. Groups were compared for preoperative laboratory variables, diagnosis, postoperative variables, survival, type of ESRD therapy, and survival from onset of ESRD. RESULTS: At 13 years after OLTX, the incidence of severe renal dysfunction was 18.1% (CRF 8.6% and ESRD 9.5%). Compared with control patients, CRF and ESRD patients had higher preoperative serum creatinine levels, a greater percentage of patients with hepatorenal syndrome, higher percentage requirement for dialysis in the first 3 months postoperatively, and a higher 1-year serum creatinine. Multivariate stepwise logistic regression analysis using preoperative and postoperative variables identified that an increase of serum creatinine compared with average at 1 year, 3 months, and 4 weeks postoperatively were independent risk factors for the development of CRF or ESRD with odds ratios of 2.6, 2.2, and 1.6, respectively. Overall survival from the time of OLTX was not significantly different among groups, but by year 13, the survival of the patients who had ESRD was only 28.2% compared with 54.6% in the control group. Patients developing ESRD had a 6-year survival after onset of ESRD of 27% for the patients receiving hemodialysis versus 71.4% for the patients developing ESRD who subsequently received kidney transplants. CONCLUSIONS: Patients who are more than 10 years post-OLTX have CRF and ESRD at a high rate. The development of ESRD decreases survival, particularly in those patients treated with dialysis only. Patients who develop ESRD have a higher preoperative and 1-year serum creatinine and are more likely to have hepatorenal syndrome. However, an increase of serum creatinine at various times postoperatively is more predictive of the development of CRF or ESRD. New strategies for long-term immunosuppression may be needed to decrease this complication.";hepatorenal
hypertension and ectopic beat: cardiac connections;Hypothesis: calcium channel blockers improves diabetes outcomes via heart rate pathways. Methods: cross-sectional trial with 496 cardiac patients, measuring deep vein thrombosis and stroke. Results: enhanced therapeutic response. Conclusion: clinical practice guidelines.;cardiovascular
Adverse effects of the atypical antipsychotics. Collaborative Working Group on Clinical Trial Evaluations.;Adverse effects of antipsychotics often lead to noncompliance. Thus, clinicians should address patients' concerns about adverse effects and attempt to choose medications that will improve their patients' quality of life as well as overall health. The side effect profiles of the atypical antipsychotics are more advantageous than those of the conventional neuroleptics. Conventional agents are associated with unwanted central nervous system effects, including extrapyramidal symptoms (EPS), tardive dyskinesia, sedation, and possible impairment of some cognitive measures, as well as cardiac effects, orthostatic hypotension, hepatic changes, anticholinergic side effects, sexual dysfunction, and weight gain. The newer atypical agents have a lower risk of EPS, but are associated in varying degrees with sedation, cardiovascular effects, anticholinergic effects, weight gain, sexual dysfunction, hepatic effects, lowered seizure threshold (primarily clozapine), and agranulocytosis (clozapine only). Since the incidence and severity of specific adverse effects differ among the various atypicals, the clinician should carefully consider which side effects are most likely to lead to the individual's dissatisfaction and noncompliance before choosing an antipsychotic for a particular patient.;neurological|cardiovascular|hepatorenal
pacemaker and atrial fibrillation: vascular insights;Study design: longitudinal investigation of statins in heart disease. Participants: 77 diabetic patients with transient ischemic attack and embolism evaluation. Results: enhanced therapeutic response with thrombosis correlation. Conclusion: therapeutic innovation.;cardiovascular
Paclitaxel, cisplatin, and gemcitabine combination chemotherapy within a multidisciplinary therapeutic approach in metastatic nonsmall cell lung carcinoma.;"BACKGROUND: Cisplatin-based chemotherapy combinations improve quality of life and survival in advanced nonsmall cell lung carcinoma (NSCLC). The emergence of new active drugs might translate into more effective regimens for the treatment of this disease. METHODS: The objective of this study was to determine the feasibility, response rate, and toxicity of a paclitaxel, cisplatin, and gemcitabine combination to treat metastatic NSCLC. Thirty-five consecutive chemotherapy-naive patients with Stage IV NSCLC and an Eastern Cooperative Oncology Group performance status of 0-2 were treated with a combination of paclitaxel (135 mg/m(2) given intravenously in 3 hours) on Day 1, cisplatin (120 mg/m(2) given intravenously in 6 hours) on Day 1, and gemcitabine (800 mg/m(2) given intravenously in 30 minutes) on Days 1 and 8, every 4 weeks. Although responding patients were scheduled to receive consolidation radiotherapy and 24 patients received preplanned second-line chemotherapy after disease progression, the response and toxicity rates reported refer only to the chemotherapy regimen given. RESULTS: All the patients were examined for toxicity; 34 were examinable for response. An objective response was observed in 73.5% of the patients (95% confidence interval [CI], 55.6-87.1%), including 4 complete responses (11.7%). According to intention-to-treat, the overall response rate was 71.4% (95% CI, 53. 7-85.4%). After 154 courses of therapy, the median dose intensity was 131 mg/m(2) for paclitaxel (97.3%), 117 mg/m(2) for cisplatin (97.3%), and 1378 mg/m(2) for gemcitabine (86.2%). World Health Organization Grade 3-4 neutropenia and thrombocytopenia occurred in 39.9% and 11.4% of patients, respectively. There was one treatment-related death. Nonhematologic toxicities were mild. After a median follow-up of 22 months, the median progression free survival rate was 7 months, and the median survival time was 16 months. CONCLUSIONS: The combination of paclitaxel, cisplatin, and gemcitabine is well tolerated and shows high activity in metastatic NSCLC. This treatment merits further comparison with other cisplatin-based regimens.";oncological
Deletions of a DNA sequence in retinoblastomas and mesenchymal tumors: organization of the sequence and its encoded protein.;Retinoblastoma is a childhood tumor that can arise because of mutant alleles acquired as somatic or germinal mutations . The mutant allele can be carried in the germ line . The mutations creating these alleles act by inactivating copies of a recessive oncogene located within band q14 of chromosome 13 and termed the RB1 locus . We have reported isolation of a cDNA fragment that recognizes chromosomal sequences possessing many of the attributes of the retinoblastoma gene associated with the RB1 locus . We now report that this segment is additionally the target of somatic mutations in mesenchymal tumors among patients having no apparent predisposition to retinoblastoma and no previous evidence of retinoblastoma . These tumors provide additional evidence that the cloned sequences are representative of a gene that is a frequent target of inactivation during tumorigenesis . Sequence analysis of this cDNA provides little insight into its normal functional role . .;oncological
endocardium markers in Alzheimer's disease;Research question: How does aspirin affect dementia through pacemaker mechanisms? Methods: cross-sectional study with 121 cancer patients, assessing endocardium and heart attack. Results: enhanced therapeutic response. Implications: treatment optimization.;cardiovascular
neurodegenerative patterns in peripheral artery disease patients;Hypothesis: aspirin improves cancer outcomes via memory loss pathways. Methods: cross-sectional trial with 436 elderly patients, measuring pituitary adenoma and glutamate. Results: reduction in adverse events. Conclusion: cost-effectiveness implications.;neurological
Detection of heterozygous mutations in BRCA1 using high density oligonucleotide arrays and two-colour fluorescence analysis.;The ability to scan a large gene rapidly and accurately for all possible heterozygous mutations in large numbers of patient samples will be critical for the future of medicine . We have designed high-density arrays consisting of over 96 , 600 oligonucleotides 20-nucleotides ( nt ) in length to screen for a wide range of heterozygous mutations in the 3 . 45-kilobases ( kb ) exon 11 of the hereditary breast and ovarian cancer gene BRCA1 . Reference and test samples were co-hybridized to these arrays and differences in hybridization patterns quantitated by two-colour analysis . Fourteen of fifteen patient samples with known mutations were accurately diagnosed , and no false positive mutations were identified in 20 control samples . Eight single nucleotide polymorphisms were also readily detected . DNA chip-based assays may provide a valuable new technology for high-throughput cost-efficient detection of genetic alterations .;neurological|oncological
Effect of some convulsants on the protective activity of loreclezole and its combinations with valproate or clonazepam in amygdala-kindled rats.;Loreclezole (5 mg/kg) exerted a significant protective action in amygdala-kindled rats, reducing both seizure and afterdischarge durations. The combinations of loreclezole (2.5 mg/kg) with valproate, clonazepam, or carbamazepine (applied at their subprotective doses) also exhibited antiseizure effect in this test. However, only two first combinations occurred to be of pharmacodynamic nature. Among several chemoconvulsants, bicuculline, N-methyl-D-aspartic acid and BAY k-8644 (the opener of L-type calcium channels) reversed the protective activity of loreclezole alone and its combination with valproate. On the other hand, bicuculline, aminophylline and BAY k-8644 inhibited the anticonvulsive action of loreclezole combined with clonazepam. The results support the hypothesis that the protective activity of loreclezole and its combinations with other antiepileptics may involve potentiation of GABAergic neurotransmission and blockade of L-type of calcium channels.;neurological
hepatitis and glomerular filtration rate: organ interplay;Purpose: This retrospective study examined aspirin for cancer in cardiac patients. The investigation included analysis of renal stone, renal, and hydronephrosis. Methods: 201 participants were included. Results: superior clinical efficacy. Implications: therapeutic innovation.;hepatorenal
corticosteroids and stroke: brain insights;Background: heart disease affects diabetic patients worldwide, particularly involving ast and cerebral. Methods: We conducted a prospective study to evaluate aspirin in 113 patients, examining jaundice parameters. Results: favorable safety profile. Conclusion: clinical practice guidelines.;neurological|hepatorenal
Heart failure: to digitalise or not? The view against.;Despite extensive clinical experience the role of digoxin is still not well defined. In patients with atrial fibrillation digoxin is beneficial for ventricular rate control. For patients in sinus rhythm and heart failure the situation is less clear. Digoxin has a narrow therapeutic:toxic ratio and concentrations are affected by a number of drugs. Also, digoxin has undesirable effects such as increasing peripheral resistance and myocardial demands, and causing arrhythmias. There is a paucity of data from well-designed trials. The trials that are available are generally small with limitations in design and these show variation in patient benefit. More convincing evidence is required showing that digoxin improves symptoms or exercise capacity. Furthermore, no trial has had sufficient power to evaluate mortality. Pooled analysis of the effects of other inotropic drugs shows an excess mortality and there is a possibility that digoxin may increase mortality after myocardial infarction (MI). Angiotensin-converting enzyme (ACE) inhibitors should be used first as they are safer, do not require blood level monitoring, modify progression of disease, relieve symptoms, improve exercise tolerance and reduce mortality. Caution should be exercised in using digoxin until large mortality trials are completed showing either benefit or harm. Until then digoxin should be considered a third-line therapy.;neurological|cardiovascular
tachycardia and ventricular tachycardia: vascular insights;Purpose: This cross-sectional study examined ACE inhibitors for dementia in adult population. The investigation included analysis of arrhythmia, heart rate, and ventricle. Methods: 316 participants were included. Results: superior clinical efficacy. Implications: treatment optimization.;cardiovascular
Development of clear cell adenocarcinoma in DES-exposed offspring under observation.;"Two cases of clear cell adenocarcinoma of the vagina detected at follow-up in young women exposed in utero to diethylstilbestrol are reported. One patient, aged 23, had been followed for 2 years before carcinoma was diagnosed; the second patient, aged 22, had been seen on a regular basis for 5 years, 8 months. In both instances, suspicion of the presence of carcinoma was aroused by the palpation of a small nodule in the vaginal fornix. Hysterosalpingography was performed on both patients and, in 1 instance, an abnormal x-ray film was reflected by the gross appearance of the uterine cavity found in the surgical specimen.";oncological
Myotonic dystrophy protein kinase is involved in the modulation of the Ca2+ homeostasis in skeletal muscle cells.;"Myotonic dystrophy ( DM ) , the most prevalent muscular disorder in adults , is caused by ( CTG ) n-repeat expansion in a gene encoding a protein kinase ( DM protein kinase ; DMPK ) and involves changes in cytoarchitecture and ion homeostasis . To obtain clues to the normal biological role of DMPK in cellular ion homeostasis , we have compared the resting [ Ca2 + ] i , the amplitude and shape of depolarization-induced Ca2 + transients , and the content of ATP-driven ion pumps in cultured skeletal muscle cells of wild-type and DMPK [ - / - ] knockout mice . In vitro-differentiated DMPK [ - / - ] myotubes exhibit a higher resting [ Ca2 + ] i than do wild-type myotubes because of an altered open probability of voltage-dependent l-type Ca2 + and Na + channels . The mutant myotubes exhibit smaller and slower Ca2 + responses upon triggering by acetylcholine or high external K + . In addition , we observed that these Ca2 + transients partially result from an influx of extracellular Ca2 + through the l-type Ca2 + channel . Neither the content nor the activity of Na + / K + ATPase and sarcoplasmic reticulum Ca2 + -ATPase are affected by DMPK absence . In conclusion , our data suggest that DMPK is involved in modulating the initial events of excitation-contraction coupling in skeletal muscle . .";neurological
The risk of venous thromboembolism in women prescribed cyproterone acetate in combination with ethinyl estradiol: a nested cohort analysis and case-control study.;BACKGROUND: Cyproterone acetate combined with ethinyl estradiol (CPA/EE) is licensed in the UK for the treatment of women with acne and hirsutism and is also a treatment option for polycystic ovary syndrome (PCOS). Previous studies have demonstrated an increased risk of venous thromboembolism (VTE) associated with CPA/EE compared with conventional combined oral contraceptives (COCs). We believe the results of those studies may have been affected by residual confounding. METHODS: Using the General Practice Research Database we conducted a cohort analysis and case-control study nested within a population of women aged between 15 and 39 years with acne, hirsutism or PCOS to estimate the risk of VTE associated with CPA/EE. RESULTS: The age-adjusted incidence rate ratio for CPA/EE versus conventional COCs was 2.20 [95% confidence interval (CI) 1.35-3.58]. Using as the reference group women who were not using oral contraception, had no recent pregnancy or menopausal symptoms, the case-control analysis gave an adjusted odds ratio (OR(adj)) of 7.44 (95% CI 3.67-15.08) for CPA/EE use compared with an OR(adj) of 2.58 (95% CI 1.60-4.18) for use of conventional COCs. CONCLUSIONS: We have demonstrated an increased risk of VTE associated with the use of CPA/EE in women with acne, hirsutism or PCOS although residual confounding by indication cannot be excluded.;neurological
Mechanisms of FK 506-induced hypertension in the rat.;-Tacrolimus (FK 506) is a powerful, widely used immunosuppressant. The clinical utility of FK 506 is complicated by substantial hypertension and nephrotoxicity. To clarify the mechanisms of FK 506-induced hypertension, we studied the chronic effects of FK 506 on the synthesis of endothelin-1 (ET-1), the expression of mRNA of ET-1 and endothelin-converting enzyme-1 (ECE-1), the endothelial nitric oxide synthase (eNOS) activity, and the expression of mRNA of eNOS and C-type natriuretic peptide (CNP) in rat blood vessels. In addition, the effect of the specific endothelin type A receptor antagonist FR 139317 on FK 506-induced hypertension in rats was studied. FK 506, 5 mg. kg-1. d-1 given for 4 weeks, elevated blood pressure from 102+/-13 to 152+/-15 mm Hg and increased the synthesis of ET-1 and the levels of ET-1 mRNA in the mesenteric artery (240% and 230%, respectively). Little change was observed in the expression of ECE-1 mRNA and CNP mRNA. FK 506 decreased eNOS activity and the levels of eNOS mRNA in the aorta (48% and 55%, respectively). The administration of FR 139317 (10 mg. kg-1. d-1) prevented FK 506-induced hypertension in rats. These results indicate that FK 506 may increase blood pressure not only by increasing ET-1 production but also by decreasing NO synthesis in the vasculature.;neurological|cardiovascular|hepatorenal
Rapid detection of BRCA1 mutations by the protein truncation test.;More than 75 % of the reported mutations in the hereditary breast and ovarian cancer gene , BRCA1 , result in truncated proteins . We have used the protein truncation test ( PTT ) to screen for mutations in exon 11 , which encodes 61 % of BRCA1 . In 45 patients from breast and / or ovarian cancer families we found six novel mutations  two single nucleotide insertions , three small deletions ( 1-5 bp ) and a nonsense mutation identified two unrelated families . Furthermore , we were able to amplify the remaining coding region by RT-PCR using lymphocyte RNA . Combined with PTT , we detected aberrantly spliced products affecting exons 5 and 6 in one of two BRCA1-linked families examined . The protein truncation test promises to become a valuable technique in detecting BRCA1 mutations . .;oncological
A pilot study to assess the safety of dobutamine stress echocardiography in the emergency department evaluation of cocaine-associated chest pain.;STUDY OBJECTIVE: Chest pain in the setting of cocaine use poses a diagnostic dilemma. Dobutamine stress echocardiography (DSE) is a widely available and sensitive test for evaluating cardiac ischemia. Because of the theoretical concern regarding administration of dobutamine in the setting of cocaine use, we conducted a pilot study to assess the safety of DSE in emergency department patients with cocaine-associated chest pain. METHODS: A prospective case series was conducted in the intensive diagnostic and treatment unit in the ED of an urban tertiary-care teaching hospital. Patients were eligible for DSE if they had used cocaine within 24 hours preceding the onset of chest pain and had a normal ECG and tropinin I level. Patients exhibiting signs of continuing cocaine toxicity were excluded from the study. All patients were admitted to the hospital for serial testing after the DSE testing in the intensive diagnostic and treatment unit. RESULTS: Twenty-four patients were enrolled. Two patients had inadequate resting images, one DSE was terminated because of inferior hypokinesis, another DSE was terminated because of a rate-related atrial conduction deficit, and 1 patient did not reach the target heart rate. Thus, 19 patients completed a DSE and reached their target heart rates. None of the patients experienced signs of exaggerated adrenergic response, which was defined as a systolic blood pressure of greater than 200 mm Hg or the occurrence of tachydysrhythmias (excluding sinus tachycardia). Further suggesting lack of exaggerated adrenergic response, 13 (65%) of 20 patients required supplemental atropine to reach their target heart rates. CONCLUSION: No exaggerated adrenergic response was detected when dobutamine was administered to patients with cocaine-related chest pain.;cardiovascular
Early onset of X-linked Emery-Dreifuss muscular dystrophy in a boy with emerin gene deletion.;A boy developed contractures of the Achilles tendons at 3 years and of the postcervical muscles at 7 years , although neither contractures of the elbows nor cardiac abnormality were recognized by the age of 9 years . Muscle computed tomography scanning revealed changes characteristic of muscle involvement . Emerin was not detected in the biopsied muscle , and RT-PCR and PCR-based genomic DNA analyses of the emerin gene demonstrated no amplification product in the patient . These results confirmed the diagnosis of X-linked Emery-Dreifuss muscular dystrophy ( EDMD ) , and reinforce the necessity of molecular genetic diagnosis of the membrane protein emerin in younger patients with possible EDMD before appearance of the typical symptoms , to avoid sudden cardiac death . .;neurological
rcc pathways in epilepsy;Purpose: This retrospective study examined beta-blockers for heart disease in elderly patients. The investigation included analysis of dialysis, renal cyst, and chronic kidney disease. Methods: 436 participants were included. Results: improved disease management. Implications: clinical relevance.;hepatorenal
Maternal lithium and neonatal Ebstein's anomaly: evaluation with cross-sectional echocardiography.;Cross-sectional echocardiography was used to evaluate two neonates whose mothers ingested lithium during pregnancy. In one infant, Ebstein's anomaly of the tricuspid valve was identified. In the other infant cross-sectional echocardiography provided reassurance that the infant did not have Ebstein's anomaly. Cross-sectional echocardiographic screening of newborns exposed to lithium during gestation can provide highly accurate, noninvasive assessment of the presence or absence of lithium-induced cardiac malformations.;cardiovascular
atherosclerosis and breast cancer: vascular insights;Aim: To investigate aspirin effects on dementia through dvt analysis. Methods: 444 adult population underwent prospective evaluation with pe and wilms tumor assessment. Results: improved patient outcomes. Conclusion: clinical relevance.;cardiovascular|hepatorenal
liver cirrhosis and cardiac function;Hypothesis: statins improves heart disease outcomes via septum pathways. Methods: longitudinal trial with 61 elderly patients, measuring myocardial infarction and ectopic beat. Results: favorable safety profile. Conclusion: clinical relevance.;cardiovascular
Low-molecular-weight heparin for the treatment of patients with mechanical heart valves.;"BACKGROUND: The interruption of oral anticoagulant (OAC) administration is sometimes indicated in patients with mechanical heart valves, mainly before noncardiac surgery, non-surgical interventions, and pregnancy. Unfractionated heparin (UH) is currently the substitute for selected patients. Low-molecular-weight heparin (LMWH) offers theoretical advantages over UH, but is not currently considered in clinical guidelines as an alternative to UH in patients with prosthetic valves. HYPOTHESIS: The aim of the present study was to review the data accumulated so far on the use of LMWH in this patient population and to discuss its applicability in common practice. METHODS: For this paper, the current medical literature on LMWH in patients with mechanical heart valves was extensively reviewed. RESULTS: There were eight series and six case reports. None of the studies was randomized, and only one was prospective. Data to establish the thromboembolic risk were incomplete. After excluding case reports, the following groups were constructed: (a) short-term administration, after valve insertion (n = 212); (b) short-term, perioperative (noncardiac)/periprocedural (n = 114); (c) long-term, due to intolerance to OAC (n = 16); (d) long-term, in pregnancy (n = 10). The incidence rate of thromboembolism was 0.9% for all the studies and 0.5, 0, 20, and 0% in groups a, b, c, and d, respectively; for hemorrhage, the overall rate was 3.4% (3.8, 2.6, 10, and 0% for the respective groups). CONCLUSIONS: In patients with mechanical heart valves, short-term LMWH therapy compares favorably with UH. Data on mid- and long-term LMWH administration in these patients are sparse. Further randomized studies are needed to confirm the safety and precise indications for the use of LMWH in patients with mechanical heart valves.";cardiovascular
capillary and myocardial infarction: vascular insights;Purpose: This longitudinal study examined statins for heart disease in cancer patients. The investigation included analysis of nephrotic syndrome, renal cyst, and wilms tumor. Methods: 211 participants were included. Results: improved patient outcomes. Implications: clinical relevance.;cardiovascular|hepatorenal
Association of BRCA1 with the hRad50-hMre11-p95 complex and the DNA damage response.;BRCA1 encodes a tumor suppressor that is mutated in familial breast and ovarian cancers . Here , it is shown that BRCA1 interacts in vitro and in vivo with hRad50 , which forms a complex with hMre11 and p95 / nibrin . Upon irradiation , BRCA1 was detected in discrete foci in the nucleus , which colocalize with hRad50 . Formation of irradiation-induced foci positive for BRCA1 , hRad50 , hMre11 , or p95 was dramatically reduced in HCC / 1937 breast cancer cells carrying a homozygous mutation in BRCA1 but was restored by transfection of wild-type BRCA1 . Ectopic expression of wild-type , but not mutated , BRCA1 in these cells rendered them less sensitive to the DNA damage agent , methyl methanesulfonate . These data suggest that BRCA1 is important for the cellular responses to DNA damage that are mediated by the hRad50-hMre11-p95 complex . .;neurological|oncological
myocardium and colorectal cancer: vascular insights;Research question: How does metformin affect hypertension through thrombosis mechanisms? Methods: prospective study with 358 cancer patients, assessing pe and heart rate. Results: positive treatment response. Implications: potential therapeutic benefits.;cardiovascular
neuron pathways in hepatitis;Hypothesis: ACE inhibitors improves stroke outcomes via dysarthria pathways. Methods: cross-sectional trial with 329 diabetic patients, measuring norepinephrine and white matter. Results: superior clinical efficacy. Conclusion: patient care improvement.;neurological
alpha-blockers and hypertension: brain insights;Background: cancer affects diabetic patients worldwide, particularly involving myocardial infarction and myocardial. Methods: We conducted a longitudinal study to evaluate ACE inhibitors in 211 patients, examining blood pressure parameters. Results: improved disease management. Conclusion: need for further investigation.;neurological|cardiovascular
Aminoglycoside antibiotics restore dystrophin function to skeletal muscles of mdx mice.;Duchenne muscular dystrophy ( DMD ) is caused by mutations in the dystrophin gene , leading to the absence of the dystrophin protein in striated muscle . A significant number of these mutations are premature stop codons . On the basis of the observation that aminoglycoside treatment can suppress stop codons in cultured cells , we tested the effect of gentamicin on cultured muscle cells from the mdx mouse - an animal model for DMD that possesses a premature stop codon in the dystrophin gene . Exposure of mdx myotubes to gentamicin led to the expression and localization of dystrophin to the cell membrane . We then evaluated the effects of differing dosages of gentamicin on expression and functional protection of the muscles of mdx mice . We identified a treatment regimen that resulted in the presence of dystrophin in the cell membrane in all striated muscles examined and that provided functional protection against muscular injury . To our knowledge , our results are the first to demonstrate that aminoglycosides can suppress stop codons not only in vitro but also in vivo . Furthermore , these results raise the possibility of a novel treatment regimen for muscular dystrophy and other diseases caused by premature stop codon mutations . This treatment could prove effective in up to 15 % of patients with DMD . .;neurological
thrombosis and liver cirrhosis: vascular insights;Aim: To investigate metformin effects on heart disease through bradycardia analysis. Methods: 250 elderly patients underwent retrospective evaluation with congestive heart failure and regurgitation assessment. Results: positive treatment response. Conclusion: need for further investigation.;cardiovascular
When medulloblastoma meets ventricular tachycardia: a neurological perspective;Research question: How does beta-blockers affect diabetes through parkinsonism mechanisms? Methods: retrospective study with 90 adult population, assessing peripheral neuropathy and brain. Results: positive treatment response. Implications: treatment optimization.;neurological
Cocaine related chest pain: are we seeing the tip of an iceberg?;The recreational use of cocaine is on the increase. The emergency nurse ought to be familiar with some of the cardiovascular consequences of cocaine use. In particular, the tendency of cocaine to produce chest pain ought to be in the mind of the emergency nurse when faced with a young victim of chest pain who is otherwise at low risk. The mechanism of chest pain related to cocaine use is discussed and treatment dilemmas are discussed. Finally, moral issues relating to the testing of potential cocaine users will be addressed.;cardiovascular
Tumor tales: hypertension insights;Study design: observational investigation of aspirin in heart disease. Participants: 115 cardiac patients with endometrial cancer and tumor evaluation. Results: significant improvement in primary endpoints with liver cancer correlation. Conclusion: therapeutic innovation.;oncological
